minimum, mean, maximum
0.0, 0.0, 0.0
0.0075, 0.0186436170213, 0.02
0.0225, 0.055988372093, 0.06
0.045, 0.113048780488, 0.12
0.075, 0.189423076923, 0.2
0.1125, 0.284210526316, 0.3
0.1875, 0.398108108108, 0.42
0.275, 0.53347826087, 0.56
0.375, 0.685, 0.72
0.4875, 0.854032258065, 0.9
0.6125, 1.049375, 1.1
0.75, 1.25657894737, 1.32
0.9, 1.48281818182, 1.56
1.0625, 1.73040909091, 1.82
1.2375, 2.00625, 2.1
1.425, 2.28591836735, 2.4
1.625, 2.58402173913, 2.72
1.8375, 2.90739130435, 3.06
2.0625, 3.23840909091, 3.42
2.3, 3.59579545455, 3.8
2.55, 3.95743902439, 4.2
2.8125, 4.35243902439, 4.62
3.0875, 4.7585, 5.06
3.375, 5.189625, 5.52
3.675, 5.61907894737, 6.0
3.9875, 6.07297297297, 6.5
4.3125, 6.59183823529, 7.02
4.65, 7.16681818182, 7.56
5.0, 7.65083333333, 8.12
5.3625, 8.175, 8.7
5.8125, 8.82361111111, 9.3
6.2, 9.40666666667, 9.92
6.6, 9.964, 10.56
7.0125, 10.5548958333, 11.22
7.4375, 11.1242045455, 11.9
7.875, 11.7729545455, 12.6
8.325, 12.4397727273, 13.32
8.7875, 13.1255681818, 14.06
9.2625, 13.8294318182, 14.82
9.75, 14.5019047619, 15.6
10.25, 15.24, 16.4
10.7625, 15.9979761905, 17.22
11.2875, 16.7739285714, 18.06
11.81, 17.50025, 18.92
12.25, 18.6210526316, 19.8
12.71, 19.4623684211, 20.7
13.17, 20.2497222222, 21.62
13.65, 21.125, 22.56
14.13, 22.0183333333, 23.52
14.63, 22.7346875, 24.5
15.13, 23.5336666667, 25.5
15.65, 24.4693333333, 26.52
16.17, 25.4226666667, 27.56
16.7, 26.3943333333, 28.62
18.5625, 28.1089285714, 29.7
19.25, 29.15, 30.8
19.95, 30.9225, 31.92
20.805, 31.9459090909, 33.06
21.675, 33.0795454545, 34.22
22.56, 34.2327272727, 35.4
23.46, 35.4054545455, 36.6
24.375, 36.5977272727, 37.82
25.305, 37.6845, 39.06
26.25, 38.7566666667, 40.32
27.21, 40.0011111111, 41.6
28.185, 41.265, 42.9
29.175, 42.339375, 44.22
30.18, 43.6375, 45.56
31.2, 44.3, 46.92
32.235, 45.6225, 48.3
33.285, 46.9641666667, 49.7
34.35, 48.325, 51.12
35.43, 49.705, 52.56
36.525, 51.1041666667, 54.02
37.635, 52.5225, 55.5
38.76, 53.96, 57.0
39.9, 55.4166666667, 58.52
41.055, 56.8925, 60.06
42.225, 58.3875, 61.62
43.41, 59.9016666667, 63.2
44.61, 61.435, 64.8
45.825, 62.301, 66.42
47.055, 63.859, 68.06
48.3, 65.436, 69.72
49.56, 67.032, 71.4
50.835, 68.647, 73.1
52.125, 70.281, 74.82
53.43, 70.7775, 76.56
54.75, 72.4275, 78.32
56.085, 74.09625, 80.1
57.435, 75.78375, 81.9
58.8, 77.49, 83.72
60.18, 79.215, 85.56
61.575, 80.95875, 87.42
62.985, 82.72125, 89.3
64.41, 84.5025, 91.2
65.85, 86.3025, 93.12
67.305, 88.12125, 95.06
68.775, 87.605, 97.02
70.26, 89.42, 99.0
71.76, 91.2533333333, 101.0